, Media,Compound,Date,Negative,Neutral,Positive,Tweets_Ago
46,BBC,-0.3626,Mon Jan 08 07:04:09 +0000 2018,0.111,0.889,0.0,47
47,BBC,0.5994,Mon Jan 08 07:04:08 +0000 2018,0.075,0.717,0.208,48
48,BBC,0.5106,Mon Jan 08 07:04:07 +0000 2018,0.092,0.683,0.225,49
49,BBC,-0.8316,Mon Jan 08 07:04:07 +0000 2018,0.328,0.672,0.0,50
50,BBC,0.0,Mon Jan 08 07:04:07 +0000 2018,0.0,1.0,0.0,51
51,BBC,0.6808,Mon Jan 08 07:04:06 +0000 2018,0.0,0.811,0.189,52
52,BBC,-0.34,Mon Jan 08 07:04:06 +0000 2018,0.167,0.833,0.0,53
53,BBC,0.0258,Mon Jan 08 07:04:06 +0000 2018,0.142,0.711,0.146,54
54,BBC,0.0,Mon Jan 08 07:04:06 +0000 2018,0.0,1.0,0.0,55
55,BBC,0.4939,Mon Jan 08 07:04:06 +0000 2018,0.0,0.849,0.151,56
56,BBC,-0.4215,Mon Jan 08 07:04:05 +0000 2018,0.167,0.833,0.0,57
57,BBC,0.0,Mon Jan 08 07:04:05 +0000 2018,0.0,1.0,0.0,58
58,BBC,-0.5267,Mon Jan 08 07:04:04 +0000 2018,0.185,0.815,0.0,59
59,BBC,0.0,Mon Jan 08 07:04:04 +0000 2018,0.0,1.0,0.0,60
60,BBC,0.5719,Mon Jan 08 07:04:04 +0000 2018,0.0,0.85,0.15,61
61,BBC,0.0,Mon Jan 08 07:04:04 +0000 2018,0.0,1.0,0.0,62
62,BBC,-0.4767,Mon Jan 08 07:04:03 +0000 2018,0.193,0.807,0.0,63
63,BBC,0.0,Mon Jan 08 07:04:03 +0000 2018,0.0,1.0,0.0,64
64,BBC,0.0,Mon Jan 08 07:04:01 +0000 2018,0.0,1.0,0.0,65
65,BBC,-0.6675,Mon Jan 08 07:04:00 +0000 2018,0.227,0.675,0.097,66
66,BBC,-0.7351,Mon Jan 08 07:04:00 +0000 2018,0.41,0.513,0.077,67
67,BBC,0.25,Mon Jan 08 07:03:59 +0000 2018,0.0,0.92,0.08,68
68,BBC,-0.5267,Mon Jan 08 07:03:58 +0000 2018,0.185,0.815,0.0,69
69,BBC,0.0,Mon Jan 08 07:03:57 +0000 2018,0.0,1.0,0.0,70
70,BBC,-0.2716,Mon Jan 08 07:03:57 +0000 2018,0.192,0.684,0.124,71
71,BBC,-0.7096,Mon Jan 08 07:03:57 +0000 2018,0.457,0.543,0.0,72
72,BBC,-0.4767,Mon Jan 08 07:03:57 +0000 2018,0.134,0.866,0.0,73
73,BBC,0.0,Mon Jan 08 07:03:57 +0000 2018,0.0,1.0,0.0,74
74,BBC,0.0,Mon Jan 08 07:03:57 +0000 2018,0.0,1.0,0.0,75
75,BBC,0.2023,Mon Jan 08 07:03:56 +0000 2018,0.0,0.927,0.073,76
76,BBC,-0.1027,Mon Jan 08 07:03:55 +0000 2018,0.123,0.877,0.0,77
77,BBC,0.5719,Mon Jan 08 07:03:55 +0000 2018,0.0,0.85,0.15,78
78,BBC,0.0,Mon Jan 08 07:03:55 +0000 2018,0.0,1.0,0.0,79
